종목명,ROE(자본수익률),EV/EABITDA(이익수익률),상승률,상승/하락,2019시초가,현재가
IBKS제10호스팩,n/a,n/a,1.066,상승,2055,2190
IBKS제5호스팩,0.91,n/a,1.106,상승,2075,2295
IBKS제6호스팩,0.46,n/a,1.063,상승,2070,2200
IBKS제7호스팩,0.73,n/a,1.042,상승,2072,2160
IBKS제9호스팩,n/a,n/a,1.249,상승,2350,2935
ISC,8.13,5.75,0.926,하락,8780,8130
ITX엠투엠,n/a,n/a,1.2,상승,1500,1800
JB금융지주,8.69,n/a,1.011,상승,5700,5760
JTC,5.47,10667.44,1.135,상승,6750,7660
JW생명과학,14.97,11.25,1.177,상승,22000,25900
JW신약,n/a,111.06,0.887,하락,6720,5960
JW중외제약,3.04,24.83,0.791,하락,40750,32250
JW홀딩스,13.32,17.19,0.874,하락,7170,6270
JYP Ent.,22.52,35.8,0.877,하락,30500,26750
KBI메탈,5.43,15.78,0.877,하락,2110,1850
KB금융,8.78,n/a,0.952,하락,46700,44450
KB오토시스,14.18,3.37,1.043,상승,5310,5540
KCC건설,6.97,3.07,1.028,상승,7080,7280
KCI,16.99,6.72,1.46,상승,7840,11450
KC그린홀딩스,7.6,7.43,1.205,상승,3780,4555
KC산업,51.86,3.75,0.978,하락,2695,2635
KC코트렐,5.4,10.81,1.656,상승,4305,7130
KD건설,11.8,n/a,0.908,하락,109,99
KEC,0.67,10.84,1.163,상승,1045,1215
KG ETS,7.58,6.9,1.165,상승,3210,3740
KG모빌리언스,6.04,12.0,0.945,하락,7440,7030
KG이니시스,17.61,7.1,0.945,하락,15550,14700
KG케미칼,1.37,7.07,0.758,하락,17550,13300
KH바텍,n/a,n/a,1.366,상승,8270,11300
KISCO홀딩스,3.29,8.5,1.051,상승,13700,14400
KJ프리텍,n/a,n/a,0.896,하락,432,387
KMH,23.7,9.89,0.958,하락,7530,7210
KMH하이텍,7.88,5.95,1.082,상승,904,978
KNN,4.16,9.13,1.585,상승,833,1320
KPX생명과학,n/a,40.92,0.885,하락,4300,3805
KPX케미칼,2.54,6.61,1.075,상승,52200,56100
KPX홀딩스,0.6,12.28,0.942,하락,61600,58000
