종목명,PBR,GP/A
인텍플러스,3.55,0.26
인텔리안테크,2.49,0.19
인팩,0.41,0.06
인피니트헬스케어,1.87,0.21
일동제약,1.57,0.21
일성건설,0.88,0.04
일성신약,nan,nan
일신방직,0.32,0.04
일신석재,nan,nan
일양약품,2.48,0.2
일정실업,0.67,-0.04
일진다이아,3.18,0.13
일진디스플,2.43,-0.05
일진머티리얼즈,3.06,0.06
일진전기,0.39,0.04
일진홀딩스,0.55,0.07
잇츠한불,1.21,0.11
자화전자,0.77,0.05
장원테크,1.43,0.05
전방,0.23,-0.03
정산애강,1.59,0.11
정상제이엘에스,1.77,0.14
제낙스,38.54,-0.01
제너셈,nan,nan
제넥신,nan,nan
제노레이,1.95,0.19
제룡산업,nan,nan
제룡전기,nan,nan
제이에스코퍼레이션,1.47,0.12
제이엠티,0.81,0.06
제이준코스메틱,1.9,0.01
제이콘텐트리,1.93,0.11
제일바이오,nan,nan
제일약품,nan,nan
제일연마,0.72,0.09
제일파마홀딩스,0.71,0.1
제주항공,2.3,0.07
조광페인트,0.45,0.05
조광피혁,nan,nan
조비,nan,nan
조선선재,nan,nan
조일알미늄,nan,nan
조흥,nan,nan
종근당,2.12,0.25
종근당바이오,0.95,0.08
중앙백신,nan,nan
지어소프트,11.72,0.43
지엔씨에너지,0.88,0.07
지엠피,4.5,0.14
지역난방공사,0.38,0.02
지코,nan,nan
지투알,1.06,0.14
진도,0.5,0.09
진바이오텍,0.97,0.07
진양산업,1.25,0.13
진양폴리우레탄,1.13,0.09
진양화학,nan,nan
진에어,nan,nan
진원생명과학,3.39,0.09
진흥기업,nan,nan
차바이오텍,2.12,0.08
참엔지니어링,1.15,0.01
창해에탄올,1.11,0.08
천일고속,nan,nan
청담러닝,2.34,0.46
청호컴넷,1.92,0.05
카프로,nan,nan
컨버즈,37.57,0.02
케어랩스,1.66,0.26
케이맥,1.72,0.02
케이비아이동국실업,0.33,0.05
케이씨,0.44,0.08
케이씨텍,nan,nan
케이씨티시,0.54,0.08
케이엠더블유,9.49,0.25
케이탑리츠,nan,nan
케이티,0.52,0.36
케이티스카이라이프,0.74,0.42
켐트로닉스,1.65,0.1
코닉글로리,nan,nan
코렌,1.62,0.11
코리아써키트,0.46,0.02
코리아에스이,0.93,0.03
코리아오토글라스,nan,nan
코맥스,0.87,0.12
코메론,0.51,0.08
코스맥스,3.94,0.08
코스맥스비티아이,0.62,0.04
코스맥스엔비티,2.41,0.05
코스메카코리아,1.71,0.1
코스모신소재,nan,nan
코스모화학,1.91,0.03
코아스,2.11,0.23
코오롱,0.39,0.06
코오롱머티리얼,nan,nan
코오롱인더,0.62,0.11
코콤,1.18,0.13
콤텍시스템,nan,nan
쿠쿠홀딩스,1.44,0.13
쿠쿠홈시스,2.83,0.36
큐렉소,nan,nan
큐로,nan,nan
큐브엔터,5.35,0.08
큐에스아이,1.29,0.04
크라운제과,nan,nan
크라운해태홀딩스,0.67,0.14
클래시스,11.87,0.33
키다리스튜디오,nan,nan
키위미디어그룹,0.04,0.02
태경산업,0.64,0.09
태경화학,0.57,0.04
태림포장,1.54,0.08
태양금속공업,0.5,0.05
태영건설,0.98,0.06
태원물산,nan,nan
태평양물산,0.99,0.1
테이팩스,1.07,0.06
텔코웨어,1.74,0.04
토니모리,2.08,0.24
토박스코리아,nan,nan
티에이치엔,1.23,0.12
티웨이항공,1.41,0.06
티웨이홀딩스,0.87,0.06
팅크웨어,0.54,0.14
파라다이스,1.17,0.01
파미셀,nan,nan
파세코,nan,nan
파수닷컴,2.46,0.17
파워로직스,2.07,0.14
파이오링크,nan,nan
파인넥스,2.11,-0.03
파인텍,0.79,0.06
팜스코,0.72,0.07
팬오션,0.88,0.03
퍼시스,nan,nan
페이퍼코리아,3.94,0.02
평화산업,6.08,0.02
평화정공,0.32,0.06
평화홀딩스,0.63,0.03
포스코,0.46,0.04
포스코인터내셔널,0.75,0.06
포스코케미칼,3.43,0.06
푸드웰,0.96,0.07
푸른기술,3.09,0.07
풍산,0.52,0.04
풍산홀딩스,0.42,0.02
퓨쳐켐,5.75,-0.01
피앤씨테크,nan,nan
피에스엠씨,1.6,0.01
피제이메탈,nan,nan
필룩스,1.71,0.09
필링크,0.88,0.08
하나마이크론,0.71,0.07
하나머티리얼즈,nan,nan
하나제약,nan,nan
하림,0.98,0.07
하이스틸,0.35,0.04
하이트론씨스템즈,0.55,0.03
하이트진로,1.27,0.12
하이트진로홀딩스,0.39,0.1
한국내화,nan,nan
한국단자공업,0.99,0.05
한국석유공업,0.48,0.08
한국수출포장공업,0.36,0.07
한국쉘석유,nan,nan
한국제지,0.21,0.04
한국종합기술,nan,nan
한국주강,nan,nan
한국주철관공업,1.28,0.06
한국철강,nan,nan
한국카본,1.23,0.04
한국콜마,2.92,0.09
한국타이어앤테크놀로지,0.62,0.09
한국테크놀로지그룹,0.49,0.03
한국특수형강,nan,nan
한국프랜지공업,0.3,0.04
한국화장품,3.33,0.4
한국화장품제조,nan,nan
한농화성,nan,nan
한독,1.09,0.12
한라,0.73,0.04
한라홀딩스,0.54,0.04
한류타임즈,3.23,0.03
한미글로벌,0.97,0.28
한미반도체,1.72,0.07
한미약품,6.25,0.16
한빛소프트,5.24,0.21
한섬,0.87,0.3
한성기업,nan,nan
한세실업,1.97,0.16
한세엠케이,0.45,0.42
한솔로지스틱스,0.88,0.11
한솔시큐어,nan,nan
한솔케미칼,2.16,0.09
한솔테크닉스,0.59,0.1
한솔피엔에스,nan,nan
한솔홀딩스,0.51,0.03
한솔홈데코,0.7,0.06
한스바이오메드,3.46,0.23
한신공영,0.45,0.04
한신기계공업,0.77,0.05
한양이엔지,0.7,0.09
한온시스템,2.91,0.07
한올바이오파마,10.15,0.18
한익스프레스,1.23,0.04
한일홀딩스,0.31,0.04
한전KPS,1.49,0.09
한전기술,nan,nan
한진,0.48,0.02
한진중공업,2.13,0.03
한진중공업홀딩스,0.26,0.03
한진칼,1.35,0.04
한창,3.24,0.17
한창제지,nan,nan
한화,0.56,0.01
한화갤러리아타임월드,nan,nan
한화에어로스페이스,0.71,0.06
한화케미칼,0.6,0.05
해성디에스,1.22,0.06
핸즈코퍼레이션,0.46,0.05
현대건설,0.91,0.05
현대건설기계,0.63,0.09
현대그린푸드,0.7,0.09
현대글로비스,1.37,0.07
현대로템,1.8,0.01
현대리바트,0.78,0.16
현대모비스,0.7,0.05
현대미포조선,0.85,0.03
현대백화점,0.45,0.11
현대비앤지스틸,0.35,0.05
현대엘리베이터,2.73,0.07
현대오토에버,2.69,0.08
현대위아,0.42,0.03
현대일렉트릭,0.48,0.02
현대자동차,0.55,0.05
현대제철,0.33,0.03
현대종합상사,0.95,0.05
현대중공업,0.72,0.02
현대코퍼레이션홀딩스,0.71,0.06
현대홈쇼핑,0.71,0.19
현우산업,0.72,0.05
현진소재,2.36,0.0
혜인,0.61,0.08
호전실업,0.86,0.07
호텔신라,4.03,0.71
화성산업,nan,nan
화승알앤에이,0.54,0.11
화승엔터프라이즈,2.84,0.09
화승인더스트리,1.77,0.09
화신,0.32,0.04
화이브라더스코리아,1.92,0.23
화인베스틸,nan,nan
화천기계,nan,nan
화천기공,0.32,0.05
황금에스티,0.48,0.05
효성,0.62,0.04
효성 ITX,2.24,0.11
효성첨단소재,1.23,0.08
효성티앤씨,1.28,0.08
효성화학,1.15,0.06
후성,2.9,0.05
휠라코리아,4.02,0.25
휴니드테크놀러지스,nan,nan
휴메딕스,2.11,0.12
휴비스,0.62,0.06
휴비츠,1.29,0.11
휴켐스,1.33,0.08
흥구석유,nan,nan
흥아해운,1.32,-0.02
