씨티케이코스메틱스,0.82,0.95
아가방컴퍼니,0,0
아나패스,0.88,1.35
아난티,0,0
아남전자,0,0
아리온,0,0
아모그린텍,0,0
아모레퍼시픽,0.42,0.56
아모레퍼시픽그룹,0.26,0.43
아모텍,0,0
아미노로직스,0,0
아미코젠,0,0
아바코,0,3.42
아바텍,2.56,1.87
아비코전자,2.37,2.68
아세아,1.31,1.55
아세아시멘트,1.36,1.45
아세아제지,2.47,2.39
아세아텍,0,0
아스타,0,0
아스트,0,0
아시아경제,0,3.4
아시아나IDT,0,4.29
아시아나항공,0,0
아시아종묘,0,0
아우딘퓨쳐스,0,0
아이디스,2.72,1.18
아이디스홀딩스,0.97,1.47
아이마켓코리아,3.88,6.5
아이센스,0.4,0.67
아이쓰리시스템,1.23,1.62
아이씨디,1.09,2.23
아이씨케이,0,0
아이앤씨,0,0
아이에스동서,3.16,3.92
아이에스이커머스,0,0
아이에이,0,0
아이에이치큐,0,5.59
아이엘사이언스,0,0
아이엠,0,0
아이엠텍,0,0
아이오케이,0,0
아이원스,0,0
