순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
303,000815,삼성화재우,156500,-2000,-1.3,16245,2524817000,158000,158500,152000,499548000000,0.03,3192000,,,
304,011280,태림포장,7050,-80,-1.1,5492783,39976233920,7030,7490,6970,499181877000,0.03,70805940,,,
305,210980,SK디앤디,26200,750,3.0,9833,255654950,25300,26250,25250,497542296800,0.03,18990164,,,
306,145990,삼양사,48100,-700,-1.4,3585,173174800,48500,48750,47900,494939524300,0.03,10289803,,,
307,006060,화승인더,8940,-290,-3.1,134323,1213423440,9180,9230,8880,494560800000,0.03,55320000,,,
308,285130,SK케미칼,42050,-500,-1.2,16745,701614150,42050,42350,41350,493725701800,0.03,11741396,,,
309,003850,보령제약,11150,50,0.4,214195,2349236300,10950,11150,10750,492830000000,0.03,44200000,,,
310,950160,코오롱티슈진,8010,0,0.0,0,0,0,0,0,489551575500,0.03,61117550,,,
311,009450,경동나비엔,38200,350,0.9,40054,1518241300,37500,38300,37300,486649282000,0.03,12739510,,,
312,001440,대한전선,566,-13,-2.2,475408,270323817,577,577,564,484763723094,0.03,856473009,,,
313,002240,고려제강,24050,600,2.6,9787,231825600,22950,24200,22950,481000000000,0.03,20000000,,,
314,023890,한국아트라스비엑스,52000,-400,-0.8,1857,95210700,51400,52100,51000,475800000000,0.03,9150000,,,
315,039130,하나투어,40750,-850,-2.0,89165,3629934550,41050,41200,40150,473359538750,0.03,11616185,,,
316,002270,롯데푸드,411000,-7000,-1.7,938,386146000,415000,419500,407000,465198570000,0.03,1131870,,,
317,115450,지트리비앤티,18800,-1150,-5.8,228788,4344306200,19650,19800,18600,464563735600,0.03,24710837,,,
318,039200,오스코텍,16400,-50,-0.3,85982,1398397150,16050,16500,16000,460870159600,0.03,28101839,,,
319,272290,이녹스첨단소재,49750,-850,-1.7,139093,6924021100,51500,52100,48150,459312895000,0.03,9232420,,,
320,006840,AK홀딩스,34100,-1100,-3.1,25165,865083950,34550,35000,34050,451741830100,0.03,13247561,,,
321,178320,서진시스템,24850,700,2.9,616528,15227809100,23700,25300,23700,449801550100,0.03,18100666,,,
322,215000,골프존,71200,2300,3.3,8992,626012500,68700,71700,67000,446809548000,0.03,6275415,,,
323,010050,우리종금,662,-5,-0.8,1049915,695650240,665,672,655,446322654772,0.03,674203406,,,
324,138080,오이솔루션,57500,-4500,-7.3,842341,50373863800,60800,62500,57500,445023090000,0.03,7739532,,,
325,003620,쌍용차,2960,-110,-3.6,288696,859936815,3030,3050,2960,443526405920,0.03,149840002,,,
