종목명,ROE(자본수익률),EV/EABITDA(이익수익률)
미래에셋대우스팩1호,0.44,n/a
미래에셋대우스팩2호,n/a,n/a
미래에셋벤처투자,n/a,n/a
미래에셋생명,5.18,n/a
미래에셋제5호스팩,0.18,n/a
미래컴퍼니,19.53,14.11
미래테크놀로지,n/a,8.31
미스터블루,9.04,11.3
미애부,n/a,n/a
미원상사,11.37,4.75
미원에스씨,17.74,6.21
미원홀딩스,7.62,18.29
미원화학,8.51,6.67
미창석유공업,4.31,8.77
미코,18.67,3.94
미코바이오메드,n/a,n/a
미투온,17.07,6.16
민앤지,14.79,8.3
바다로19호,16.31,7.74
바디텍메드,n/a,23.82
바른손,n/a,n/a
바른손이앤에이,153.19,n/a
바른전자,n/a,n/a
바른테크놀로지,n/a,n/a
바이넥스,4.56,18.64
바이오니아,n/a,n/a
바이오로그디바이스,13.28,4.38
바이오리더스,n/a,n/a
바이오빌,n/a,n/a
바이오솔루션,5.04,150.26
바이오스마트,7.07,7.82
바이오시네틱스,n/a,n/a
바이오제네틱스,n/a,n/a
바이오코아,n/a,16.15
바이오톡스텍,12.53,29.22
바이오프로테크,0.57,13.39
바이온,n/a,n/a
바이옵트로,16.3,15.7
바텍,13.13,6.93
방림,1.61,17.32
배럴,17.2,10.78
백광산업,16.33,4.43
백광소재,3.2,8.47
백금T&A,12.49,5.75
백산,11.66,8.35
버추얼텍,n/a,n/a
버킷스튜디오,n/a,n/a
범양건영,11.62,5.06
베뉴지,1.02,35.37
베셀,3.38,14.98
베스파,n/a,6.41
베트남개발1,n/a,n/a
벽산,3.37,13.19
보광산업,7.86,15.98
보라티알,9.77,7.96
보락,2.54,43.13
보령메디앙스,6.55,24.17
보령제약,8.03,12.64
보성파워텍,n/a,87.86
보해양조,n/a,199.97
본느,1.84,16.03
볼빅,8.41,18.44
부광약품,46.64,37.51
부국증권,6.18,n/a
부국철강,1.85,42.64
부방,1.1,11.33
부산도시가스,8.17,5.45
부산산업,5.92,17.54
부산주공,n/a,49.69
부스타,4.26,15.86
뷰웍스,15.56,12.85
브레인콘텐츠,n/a,45.99
브리지텍,5.01,13.11
브이원텍,22.1,9.06
블러썸엠앤씨,n/a,257.33
블루콤,1.16,16.82
비나텍,29.7,9.01
비덴트,33.48,92.82
비디아이,2.49,15.62
비상교육,1.17,2.93
비씨월드제약,10.13,17.82
비아트론,20.6,4.05
비에이치,47.93,4.76
비에이치아이,n/a,n/a
비엔디생활건강,11.03,13.86
비엔에프코퍼레이션,3.26,11.46
비엠티,11.06,7.72
비즈니스온,15.7,24.05
비츠로셀,13.46,7.91
비츠로시스,n/a,n/a
비츠로테크,5.2,10.61
비트컴퓨터,n/a,n/a
비티원,9.6,121.17
비플라이소프트,n/a,n/a
비피도,3.58,24.39
빅솔론,10.29,7.95
빅텍,2.43,11.42
빅텐츠,n/a,n/a
빙그레,6.37,10.85
빛샘전자,3.16,13.4
사람인에이치알,20.17,10.06
사조대림,4.56,8.17
사조동아원,9.32,10.41
사조산업,8.9,9.37
사조씨푸드,5.88,9.41
사조오양,5.23,8.51
사조해표,5.18,9.84
삼강엠앤티,n/a,n/a
삼광글라스,n/a,480.38
삼기오토모티브,0.47,7.3
삼륭물산,n/a,13.51
삼목에스폼,12.12,2.39
삼보모터스,2.08,6.12
삼보산업,n/a,15.03
삼보판지,19.45,2.86
삼본전자,3.17,93.67
삼부토건,n/a,n/a
삼성SDI,6.05,13.16
삼성공조,2.99,32.96
삼성머스트스팩3호,n/a,n/a
삼성물산,8.06,14.56
삼성바이오로직스,5.51,173.81
삼성생명,5.71,n/a
삼성스팩2호,n/a,n/a
삼성에스디에스,10.91,13.45
삼성엔지니어링,6.6,13.29
삼성전기,14.5,5.24
삼성전자,19.63,3.1
삼성제약,n/a,n/a
삼성중공업,n/a,n/a
삼성증권,7.37,n/a
삼성출판사,0.38,13.77
삼성카드,5.04,n/a
삼성화재해상보험,8.79,n/a
삼아알미늄,2.64,8.32
삼아제약,5.55,8.46
삼양사,4.13,7.41
삼양식품,16.16,6.1
삼양옵틱스,34.73,7.61
삼양통상,8.96,3.57
삼양패키징,8.38,7.59
삼양홀딩스,5.02,7.61
삼영무역,8.99,32.57
삼영엠텍,1.87,14.13
삼영이엔씨,0.32,16.14
삼영전자공업,3.18,12.13
삼영화학공업,n/a,48.72
삼우엠스,n/a,n/a
삼원강재,5.97,5.65
삼원테크,n/a,131.99
삼익THK,9.8,7.48
삼익악기,6.49,12.61
삼일,4.18,8.88
삼일기업공사,5.57,13.12
삼일제약,n/a,n/a
삼정펄프,n/a,25.42
삼지전자,7.62,11.17
삼진,2.49,12.54
삼진엘앤디,2.03,4.57
삼진제약,12.8,8.48
삼천당제약,6.04,41.15
삼천리,2.57,5.43
삼천리자전거,n/a,n/a
삼표시멘트,n/a,16.51
삼현철강,5.07,6.26
삼호,18.7,2.39
삼호개발,12.09,5.16
삼화네트웍스,n/a,n/a
삼화왕관,7.21,6.35
